Title,Director,Cast,Genre,comb
govinda govinda,Ram Gopal Varma,"Nagarjuna Akkineni, Sridevi",unknown,"Ram Gopal Varma Nagarjuna Akkineni, Sridevi unknown"
bhairava dweepam,Singeetam Srinivasa Rao,"Nandamuri Balakrishna, Roja Selvamani, Rambha",unknown,"Singeetam Srinivasa Rao Nandamuri Balakrishna, Roja Selvamani, Rambha unknown"
mummy mee aayanochadu,K. Ajay Kumar,"Rajendra Prasad, Indraja, Keerthana",unknown,"K. Ajay Kumar Rajendra Prasad, Indraja, Keerthana unknown"
nirantharam,unknown,Raghubir Yadav,unknown,unknown Raghubir Yadav unknown
vajram,S. V. Krishna Reddy,"Akkineni Nagarjuna, Roja, Indraja",unknown,"S. V. Krishna Reddy Akkineni Nagarjuna, Roja, Indraja unknown"
pedarayudu,Raviraja Pinisetty,"Mohan Babu, Rajinikanth, Soundarya, Bhanupriya, Brahmanandam",unknown,"Raviraja Pinisetty Mohan Babu, Rajinikanth, Soundarya, Bhanupriya, Brahmanandam unknown"
pelli sandadi,K. Raghavendra Rao,"Srikanth, Ravali, Deepti Bhatnagar",unknown,"K. Raghavendra Rao Srikanth, Ravali, Deepti Bhatnagar unknown"
pokiri raja,A. Kodandarami Reddy,"Daggubati Venkatesh, Roja Selvamani",unknown,"A. Kodandarami Reddy Daggubati Venkatesh, Roja Selvamani unknown"
punya bhoomi naa desam,A. Kodandarami Reddy,"Mohan Babu, Meena Durairaj",unknown,"A. Kodandarami Reddy Mohan Babu, Meena Durairaj unknown"
sisindri,Shiva Nageswara Rao,"Nagarjuna, Tabu, Amala, Aamani, Akhil",unknown,"Shiva Nageswara Rao Nagarjuna, Tabu, Amala, Aamani, Akhil unknown"
rikshavodu,Kodi Ramakrishna,"Chiranjeevi, Naghma, Soundarya, Jayasudha",unknown,"Kodi Ramakrishna Chiranjeevi, Naghma, Soundarya, Jayasudha unknown"
sankalpam,A. M. Rathnam,"Jagapati Babu, Gautami",unknown,"A. M. Rathnam Jagapati Babu, Gautami unknown"
sogasu chuda taramaa?,Gunasekhar,"Naresh, Indraja, Tanikella Bharani",unknown,"Gunasekhar Naresh, Indraja, Tanikella Bharani unknown"
stri,K. S. Sethumadhavan,Rohini,unknown,K. S. Sethumadhavan Rohini unknown
subha sankalpam,K. Vishwanath,"Kamal Hassan, Aamani, Priya Raman",unknown,"K. Vishwanath Kamal Hassan, Aamani, Priya Raman unknown"
taj mahal,Muppulaleni Siva,"Srikanth, Monica Bedi",unknown,"Muppulaleni Siva Srikanth, Monica Bedi unknown"
mounam,C. Umamaheshwara Rao,"Arvind Swamy, Nagma, Charu Hassan",unknown,"C. Umamaheshwara Rao Arvind Swamy, Nagma, Charu Hassan unknown"
raja simham,unknown,"Rajasekhar, Ramya Krishna, Soundarya",unknown,"unknown Rajasekhar, Ramya Krishna, Soundarya unknown"
money money,Shiva Nageswara Rao,"Jagapathi Babu, Urmila Matondkar, J. D. Chakravarthy, Jayasudha",unknown,"Shiva Nageswara Rao Jagapathi Babu, Urmila Matondkar, J. D. Chakravarthy, Jayasudha unknown"
gharana bullodu,K. Raghavendra Rao,"Akkineni Nagarjuna, Ramya Krishna, Aamani",unknown,"K. Raghavendra Rao Akkineni Nagarjuna, Ramya Krishna, Aamani unknown"
maato pettukoku,A. Kodandarami Reddy,"Nandamuri Balakrishna, Rambha, Roja Selvamani",unknown,"A. Kodandarami Reddy Nandamuri Balakrishna, Rambha, Roja Selvamani unknown"
aadaalla majaka,Muthyala Subbaiah,"Vikram, Sivaranjani",unknown,"Muthyala Subbaiah Vikram, Sivaranjani unknown"
aayanaki iddaru,E. V. V. Satyanarayana,"Jagapati Babu, Ramya Krishna, Sivaranjani",unknown,"E. V. V. Satyanarayana Jagapati Babu, Ramya Krishna, Sivaranjani unknown"
adavi dora,K. Sadasivarao,"Sobhan Babu, Nagma",unknown,"K. Sadasivarao Sobhan Babu, Nagma unknown"
alluda majaka,E. V. V. Satyanarayana,"Chiranjeevi, Ramya Krishnan, Rambha, Lakshmi",unknown,"E. V. V. Satyanarayana Chiranjeevi, Ramya Krishnan, Rambha, Lakshmi unknown"
amma donga,Sagar,"Krishna, Soundarya, Aamani, Indraja",unknown,"Sagar Krishna, Soundarya, Aamani, Indraja unknown"
ammoru,Kodi Ramakrishna,"Suresh, Soundarya, Ramya Krishna, Baby Sunaina, Rami Reddy, Vadivukkarasi",unknown,"Kodi Ramakrishna Suresh, Soundarya, Ramya Krishna, Baby Sunaina, Rami Reddy, Vadivukkarasi unknown"
ayanaku iddaru,E. V. V. Satyanarayana,"Jagapathi Babu, Ooha, Ramya Krishna, Brahmanandam",unknown,"E. V. V. Satyanarayana Jagapathi Babu, Ooha, Ramya Krishna, Brahmanandam unknown"
maya bazaar,Dasari Narayana Rao,"ANR, Suman, Aamani",unknown,"Dasari Narayana Rao ANR, Suman, Aamani unknown"
big boss,Vijaya Bapineedu,"Chiranjeevi, Roja Selvamani, Kota Srinivasa Rao, Madhavi",unknown,"Vijaya Bapineedu Chiranjeevi, Roja Selvamani, Kota Srinivasa Rao, Madhavi unknown"
chilakapachcha kaapuram,Kodi Ramakrishna,"Jagapathi Babu, Meena, Soundarya",unknown,"Kodi Ramakrishna Jagapathi Babu, Meena, Soundarya unknown"
criminal,K. S. Rama Rao,"Nagarjuna Akkineni, Ramya Krishna, Manisha Koirala",unknown,"K. S. Rama Rao Nagarjuna Akkineni, Ramya Krishna, Manisha Koirala unknown"
ghatotkachudu,S. V. Krishna Reddy,"Satyanarayana Kaikala, Roja Selvamani, Ali",unknown,"S. V. Krishna Reddy Satyanarayana Kaikala, Roja Selvamani, Ali unknown"
god father,Kodi Ramakrishna,"Vinod Kumar, Vani Viswanath, Kasthuri",unknown,"Kodi Ramakrishna Vinod Kumar, Vani Viswanath, Kasthuri unknown"
ketu duplicate,Relangi Narasimha Rao,"Rajendra Prasad, Surabhi, Brahmanandam, Satyanarayana Kaikala",unknown,"Relangi Narasimha Rao Rajendra Prasad, Surabhi, Brahmanandam, Satyanarayana Kaikala unknown"
lingababu love story,Vamsy,"Rajendra Prasad, Rajasri",unknown,"Vamsy Rajendra Prasad, Rajasri unknown"
bhale bullodu,Sarath Babu,"Jagapathi Babu, Soundarya",unknown,"Sarath Babu Jagapathi Babu, Soundarya unknown"
maa aavida collector,Kodi Ramakrishna,"Jagapathi Babu, Prema",unknown,"Kodi Ramakrishna Jagapathi Babu, Prema unknown"
maavichiguru,S. V. Krishna Reddy,"Jagapathi Babu, Aamani, Ranjitha",unknown,"S. V. Krishna Reddy Jagapathi Babu, Aamani, Ranjitha unknown"
merupu,Gopichand Nadella,"Vikram, Anand, Kasthuri",unknown,"Gopichand Nadella Vikram, Anand, Kasthuri unknown"
mrugam,Rudrajj Suresh Varma,"J. D. Chakravarthy, Maheswari, Ranganath",unknown,"Rudrajj Suresh Varma J. D. Chakravarthy, Maheswari, Ranganath unknown"
ninne pelladata,Krishna Vamsi,"Nagarjuna Akkineni, Tabu, Lakshmi",unknown,"Krishna Vamsi Nagarjuna Akkineni, Tabu, Lakshmi unknown"
ooha,Sivala Prabhakar,"Vikram, Sivaranjani, Ali",unknown,"Sivala Prabhakar Vikram, Sivaranjani, Ali unknown"
pavitra bandham,Muthyala Subbaiah,"Daggubati Venkatesh, Soundarya, S. P. Balasubramaniam",unknown,"Muthyala Subbaiah Daggubati Venkatesh, Soundarya, S. P. Balasubramaniam unknown"
rayudugaru nayudugaru,Dasari Narayana Rao,"ANR, Vinod Kumar, Roja",unknown,"Dasari Narayana Rao ANR, Vinod Kumar, Roja unknown"
rambantu,Bapu,"Rajendra Prasad, Eswari Rao",unknown,"Bapu Rajendra Prasad, Eswari Rao unknown"
ramudochadu,A. Kodandarami Reddy,"Akkineni Nagarjuna, Krishna, Soundarya, Ravali",unknown,"A. Kodandarami Reddy Akkineni Nagarjuna, Krishna, Soundarya, Ravali unknown"
sahasa veerudu sagara kanya,K. Raghavendra Rao,"Daggubati Venkatesh, Shilpa Shetty, Malashri",unknown,"K. Raghavendra Rao Daggubati Venkatesh, Shilpa Shetty, Malashri unknown"
sarada bullodu,Raviraja Pinisetty,"Daggubati Venkatesh, Nagma, Sanghavi",unknown,"Raviraja Pinisetty Daggubati Venkatesh, Nagma, Sanghavi unknown"
shri krishnarjuna vijayam,Singeetam Srinivasa Rao,"Balakrishna, Roja Selvamani, Priya Raman",unknown,"Singeetam Srinivasa Rao Balakrishna, Roja Selvamani, Priya Raman unknown"
vamshanikokkadu,Sarath,"Balakrishna, Ramya Krishna",unknown,"Sarath Balakrishna, Ramya Krishna unknown"
little soldiers,Gangaraju Gunnam,"Baladitya, Kota Srinivasa Rao, Brahmanandam",unknown,"Gangaraju Gunnam Baladitya, Kota Srinivasa Rao, Brahmanandam unknown"
pittala dora,Sana Yadireddy,"Aali, Indraja, Kota Srinivasa Rao, Thanikella Bharani",unknown,"Sana Yadireddy Aali, Indraja, Kota Srinivasa Rao, Thanikella Bharani unknown"
vinodam,S. V. Krishna Reddy,"Meka Srikanth, Ravali, Kota Srinivasa Rao",unknown,"S. V. Krishna Reddy Meka Srikanth, Ravali, Kota Srinivasa Rao unknown"
ladies doctor,Ramu,"Rajendra Prasad, Vineetha",unknown,"Ramu Rajendra Prasad, Vineetha unknown"
intlo illalu vantintlo priyuralu,E. V. V. Satyanarayana,"Daggubati Venkatesh, Soundarya, Vineetha",unknown,"E. V. V. Satyanarayana Daggubati Venkatesh, Soundarya, Vineetha unknown"
jabilamma pelli,A. Kodandarami Reddy,"Jagapathi Babu, Maheswari, Vanisri",unknown,"A. Kodandarami Reddy Jagapathi Babu, Maheswari, Vanisri unknown"
adhirindhi alludu,E. V. V. Satyanarayana,"Mohan Babu, Gouthami, Ramya Krishna",unknown,"E. V. V. Satyanarayana Mohan Babu, Gouthami, Ramya Krishna unknown"
akka bagunnava,Mouli,"Vikram, Anand, Jayasudha, Ravali, Subhashri",unknown,"Mouli Vikram, Anand, Jayasudha, Ravali, Subhashri unknown"
akkada ammayi ikkada abbayi,E. V. V. Satyanarayana,"Pawan Kalyan, Supriya, Sarath Babu",unknown,"E. V. V. Satyanarayana Pawan Kalyan, Supriya, Sarath Babu unknown"
amma ammani choodalanivundi,Sagar,"Vinod Kumar, Ramya Krishna, Brahmanandam",unknown,"Sagar Vinod Kumar, Ramya Krishna, Brahmanandam unknown"
amma durgamma,Vandemataram Srinivas,"Shashikumar, Ooha",unknown,"Vandemataram Srinivas Shashikumar, Ooha unknown"
bala ramayanam,Guna Sekhar,"Jr. NTR, Suhani",unknown,"Guna Sekhar Jr. NTR, Suhani unknown"
akkum bakkum,K. Ram Gopal,"Ali, Brahmanandam, Babu Mohan, Annapoorna",unknown,"K. Ram Gopal Ali, Brahmanandam, Babu Mohan, Annapoorna unknown"
chinnabbayi,K. Vishwanath,"Daggubati Venkatesh, Ramya Krishnan, Ravali",unknown,"K. Vishwanath Daggubati Venkatesh, Ramya Krishnan, Ravali unknown"
deyyam,Ram Gopal Varma,"J. D. Chakravarthy, Maheshwari, Jayasudha",unknown,"Ram Gopal Varma J. D. Chakravarthy, Maheshwari, Jayasudha unknown"
dharma chakram,Suresh Krishna,"Daggubati Venkatesh, Ramya Krishna, Prema, Brahmanandam",unknown,"Suresh Krishna Daggubati Venkatesh, Ramya Krishna, Prema, Brahmanandam unknown"
drohi,P. C. Sreeram,"Kamal Hassan, Arjun Sarja, Gouthami Tadimalla, Geetha, Nassar, K. Vishwanath",unknown,"P. C. Sreeram Kamal Hassan, Arjun Sarja, Gouthami Tadimalla, Geetha, Nassar, K. Vishwanath unknown"
family,Vijaya Bapineedu,"Rajendra Prasad, Sivaranjani",unknown,"Vijaya Bapineedu Rajendra Prasad, Sivaranjani unknown"
gulabi,Krishna Vamshi,"J. D. Chakravarthy, Maheshwari, Brahmanandam",unknown,"Krishna Vamshi J. D. Chakravarthy, Maheshwari, Brahmanandam unknown"
gunshot,S. V. Krishna Reddy,"Ali, Prakash Raj, Keerthi Reddy",unknown,"S. V. Krishna Reddy Ali, Prakash Raj, Keerthi Reddy unknown"
bombay priyudu,K. Raghavendra Rao,"J. D. Chakravarthy, Rambha, Vanisri",unknown,"K. Raghavendra Rao J. D. Chakravarthy, Rambha, Vanisri unknown"
priya o priya,Muppulaneni Shiva,"Vadde Naveen, Simran Bagga, Abbas",unknown,"Muppulaneni Shiva Vadde Naveen, Simran Bagga, Abbas unknown"
osey ramulamma,Dasari Narayana Rao,"Vijayashanti, Ramki, Rami Reddy",unknown,"Dasari Narayana Rao Vijayashanti, Ramki, Rami Reddy unknown"
peddannayya,Sharat,"Balakrishna, Roja Selvamani, Achyuth",unknown,"Sharat Balakrishna, Roja Selvamani, Achyuth unknown"
pelli,Kodi Ramakrishna,"Vadde Naveen, Maheshwari, Sujatha, Pruthviraj",unknown,"Kodi Ramakrishna Vadde Naveen, Maheshwari, Sujatha, Pruthviraj unknown"
pelli chesukundam,Muthyala Subbaiah,"Venkatesh, Soundarya, Laila Mehdin, Brahmanandam",unknown,"Muthyala Subbaiah Venkatesh, Soundarya, Laila Mehdin, Brahmanandam unknown"
pelli pandiri,Kodi Ramakrishna,"Jagapati Babu, Raasi, Babloo Prithiveeraj",unknown,"Kodi Ramakrishna Jagapati Babu, Raasi, Babloo Prithiveeraj unknown"
preminchukundam raa,Jayanth C. Paranjee,"Daggubati Venkatesh, Anjala Zaveri",unknown,"Jayanth C. Paranjee Daggubati Venkatesh, Anjala Zaveri unknown"
priyaragalu,A. Kodandarami Reddy,"Jagapati Babu, Soundarya, Maheswari",unknown,"A. Kodandarami Reddy Jagapati Babu, Soundarya, Maheswari unknown"
ugadi,S. V. Krishna Reddy,"S. V. Krishna Reddy, Laila Mehdin",unknown,"S. V. Krishna Reddy S. V. Krishna Reddy, Laila Mehdin unknown"
subhakankshalu,Bhimaneni Srinivasa Rao,"Jagapathi Babu, Mantra, Raasi",unknown,"Bhimaneni Srinivasa Rao Jagapathi Babu, Mantra, Raasi unknown"
surya putrulu,C. Umamaheswara Rao,"Mammootty, Suman, Shobana",unknown,"C. Umamaheswara Rao Mammootty, Suman, Shobana unknown"
suswagatham,Bhimaneni Srinivasa Rao,"Pawan Kalyan, Devayani, Raghuvaran",unknown,"Bhimaneni Srinivasa Rao Pawan Kalyan, Devayani, Raghuvaran unknown"
taraka ramudu,R. V. Udayakumar,"Srikanth, Soundarya",unknown,"R. V. Udayakumar Srikanth, Soundarya unknown"
thaali,E. V. V. Satyanarayana,"Srikanth, Rajendra Prasad",unknown,"E. V. V. Satyanarayana Srikanth, Rajendra Prasad unknown"
veedevadandi babu,E. V. V. Satyanarayana,"Mohan Babu, Shilpa Shetty, Brahmanandam",unknown,"E. V. V. Satyanarayana Mohan Babu, Shilpa Shetty, Brahmanandam unknown"
omkaram,Upendra,"Rajasekhar, Prema, Bhagyashree",unknown,"Upendra Rajasekhar, Prema, Bhagyashree unknown"
sindhooram,Krishna Vamsi,"Ravi Teja, Sanghavi, Brahmaji",unknown,"Krishna Vamsi Ravi Teja, Sanghavi, Brahmaji unknown"
oka chinna maata,Muthyala Subbaiah,"Jagapati Babu, Indraja",unknown,"Muthyala Subbaiah Jagapati Babu, Indraja unknown"
anaganaga oka roju,Ram Gopal Varma,"J. D. Chakravarthy, Urmila Matondkar, Raghuvaran, Brahmanandam",unknown,"Ram Gopal Varma J. D. Chakravarthy, Urmila Matondkar, Raghuvaran, Brahmanandam unknown"
master,Suresh Krishna,"Chiranjeevi, Sakshi Shivanand, Puneet Issar, Vijayakumar",unknown,"Suresh Krishna Chiranjeevi, Sakshi Shivanand, Puneet Issar, Vijayakumar unknown"
aaro pranam,K. Veery,"Vineeth, Soundarya, S. P. Balasubramaniam, Lakshmi",unknown,"K. Veery Vineeth, Soundarya, S. P. Balasubramaniam, Lakshmi unknown"
abbaigari pelli,Sharath,"Suman, Simran Bagga, Sanghavi",unknown,"Sharath Suman, Simran Bagga, Sanghavi unknown"
muddula mogudu,A. Kodandarami Reddy,"Balakrishna, Meena, Brahmanandam",unknown,"A. Kodandarami Reddy Balakrishna, Meena, Brahmanandam unknown"
annamayya,K. Raghavendra Rao,"Nagarjuna Akkineni, Mohan Babu, Ramya Krishna, Suman, Kasthuri, Roja Selvamani, Sujatha",unknown,"K. Raghavendra Rao Nagarjuna Akkineni, Mohan Babu, Ramya Krishna, Suman, Kasthuri, Roja Selvamani, Sujatha unknown"
chilakkottudu,E. V. V. Satyanarayana,"Jagapati Babu, Rajendra Prasad Ramya Krishna",unknown,"E. V. V. Satyanarayana Jagapati Babu, Rajendra Prasad Ramya Krishna unknown"
chinnabbayi,K. Viswanath,"Daggubati Venkatesh, Ramya Krishna, Ravali, Srividya",unknown,"K. Viswanath Daggubati Venkatesh, Ramya Krishna, Ravali, Srividya unknown"
collector garu,B. Gopal,"Mohan Babu, Sakshi Shivanand, Brahmanandam",unknown,"B. Gopal Mohan Babu, Sakshi Shivanand, Brahmanandam unknown"
devudu,Raviraja Pinisetty,"Balakrishna, Ramya Krishna",unknown,"Raviraja Pinisetty Balakrishna, Ramya Krishna unknown"
aahvaanam,S. V. Krishna Reddy,"Srikanth, Ramya Krishna, Heera Rajagopal",unknown,"S. V. Krishna Reddy Srikanth, Ramya Krishna, Heera Rajagopal unknown"
egire paavurama,S. V. Krishna Reddy,"Srikanth, Laila Mehdin, J. D. Chakravarthy, Suhasini Maniratnam",unknown,"S. V. Krishna Reddy Srikanth, Laila Mehdin, J. D. Chakravarthy, Suhasini Maniratnam unknown"
gokulamlo seeta,Muthyala Subbaiah,"Pawan Kalyan, Raasi",unknown,"Muthyala Subbaiah Pawan Kalyan, Raasi unknown"
hitler,Muthyala Subbaiah,"Chiranjeevi, Rajendra Prasad, Rambha",unknown,"Muthyala Subbaiah Chiranjeevi, Rajendra Prasad, Rambha unknown"
jai bajarangabhali,T. Prabhakar,"Rajendra Prasad, Indraja, Kota,",unknown,"T. Prabhakar Rajendra Prasad, Indraja, Kota, unknown"
kurralla rajyam,Boyapati Kameswara Rao,"Vikram, Ali, Anand",unknown,"Boyapati Kameswara Rao Vikram, Ali, Anand unknown"
maa nannaku pelli,E. V. V. Satyanarayana,"Krishnam Raju, Simran Bagga, Srikanth",unknown,"E. V. V. Satyanarayana Krishnam Raju, Simran Bagga, Srikanth unknown"
mama bagunnava,Kodi Ramakrishna,"Rajendra Prasad, Naresh, Rambha",unknown,"Kodi Ramakrishna Rajendra Prasad, Naresh, Rambha unknown"
dongaata,Kodi Ramakrishna,"Jagapati Babu, Soundarya, Suresh",unknown,"Kodi Ramakrishna Jagapati Babu, Soundarya, Suresh unknown"
nenu premisthunnanu,E. V. V. Satyanarayana,J. D. ChakravarthyRachna Banerjee,unknown,E. V. V. Satyanarayana J. D. ChakravarthyRachna Banerjee unknown
pandaga,Sarath,"ANR, Srikanth, Raasi",unknown,"Sarath ANR, Srikanth, Raasi unknown"
paradesi,K. Raghavendra Rao,"Viswas, Madhav, Tanooja",unknown,"K. Raghavendra Rao Viswas, Madhav, Tanooja unknown"
pavitra prema,Muthyala Subbaiah,"Nandamuri Balakrishna, Laila Mehdin, Roshini",unknown,"Muthyala Subbaiah Nandamuri Balakrishna, Laila Mehdin, Roshini unknown"
pelli kanuka,Kodi Ramakrishna,"Jagapati Babu, Lakshmi, Bhanumathi Ramakrishna",unknown,"Kodi Ramakrishna Jagapati Babu, Lakshmi, Bhanumathi Ramakrishna unknown"
pelli peetalu,S. V. Krishna Reddy,"Jagapati Babu, Soundarya",unknown,"S. V. Krishna Reddy Jagapati Babu, Soundarya unknown"
premante idera,Jayanth C. Paranjee,"Daggubati Venkatesh, Preity Zinta",unknown,"Jayanth C. Paranjee Daggubati Venkatesh, Preity Zinta unknown"
prema pallaki,Sana Yadireddy,"Suresh, Vineeth, Roja",unknown,"Sana Yadireddy Suresh, Vineeth, Roja unknown"
suprabhatam,Bhimaneni Srinivasa Rao,"Srikanth, Raasi",unknown,"Bhimaneni Srinivasa Rao Srikanth, Raasi unknown"
sri sita ramula kalyanam chootamu raarandi,Y. V. S. Chowdary,"ANR, Venkat, Chandni",unknown,"Y. V. S. Chowdary ANR, Venkat, Chandni unknown"
srimathi vellostha,K. Raghavendra Rao,"Jagapati Babu, Devayani, Poonam",unknown,"K. Raghavendra Rao Jagapati Babu, Devayani, Poonam unknown"
suryavamsam,Bhimaneni Srinivasa Rao,"Daggubati Venkatesh, Meena",unknown,"Bhimaneni Srinivasa Rao Daggubati Venkatesh, Meena unknown"
toli prema,A. Karunakaran,"Pawan Kalyan, Keerthi Reddy",unknown,"A. Karunakaran Pawan Kalyan, Keerthi Reddy unknown"
ulta palta,Relangi Narasimha Rao,"Rajendra Prasad, Reshma",unknown,"Relangi Narasimha Rao Rajendra Prasad, Reshma unknown"
w/o v. vara prasad,Vamsy,"Vineeth, J. D. Chakravarthy",unknown,"Vamsy Vineeth, J. D. Chakravarthy unknown"
navvulata,Gopichand Nadella,"Rajendra Prasad, Maheswari",unknown,"Gopichand Nadella Rajendra Prasad, Maheswari unknown"
rana,A. Kodandarami Reddy,"Nandamuri Balakrishna, Heera Rajagopal, Bhagyashree",unknown,"A. Kodandarami Reddy Nandamuri Balakrishna, Heera Rajagopal, Bhagyashree unknown"
mee aayana jagratha,Muthyala Ramadas,"Rajendra Prasad, Roja",unknown,"Muthyala Ramadas Rajendra Prasad, Roja unknown"
ooyala,S. V. Krishna Reddy,"Meka Srikanth, Ramya Krishnan",unknown,"S. V. Krishna Reddy Meka Srikanth, Ramya Krishnan unknown"
love story 1999,K. Raghavendra Rao,"Prabhu Deva, Vadde Naveen",unknown,"K. Raghavendra Rao Prabhu Deva, Vadde Naveen unknown"
maavidaakulu,E. V. V. Satyanarayana,"Jagapati Babu, Rachana Banerjee",unknown,"E. V. V. Satyanarayana Jagapati Babu, Rachana Banerjee unknown"
aahaa..!,Suresh Krishna,"Jagapathi Babu, Sanghavi",unknown,"Suresh Krishna Jagapathi Babu, Sanghavi unknown"
aavida maa aavide,E. V. V. Satyanarayana,"Nagarjuna Akkineni, Tabu, Heera Rajgopal",unknown,"E. V. V. Satyanarayana Nagarjuna Akkineni, Tabu, Heera Rajgopal unknown"
abhishekam,S. V. Krishna Reddy,"S. V. Krishna Reddy, Rachana",unknown,"S. V. Krishna Reddy S. V. Krishna Reddy, Rachana unknown"
andaru herole,K. Umakanth,"Ali, Brahmanandam, Chandra Mohan, Tanikella Bharani, Telangana Sakuntala",unknown,"K. Umakanth Ali, Brahmanandam, Chandra Mohan, Tanikella Bharani, Telangana Sakuntala unknown"
antahpuram,Krishna Vamsi,"Soundarya, Jagapathi Babu, Sai Kumar, Prakash Raj",unknown,"Krishna Vamsi Soundarya, Jagapathi Babu, Sai Kumar, Prakash Raj unknown"
auto driver,Suresh Krishna,"Nagarjuna Akkineni, Simran Bagga, Deepti Bhatnagar",unknown,"Suresh Krishna Nagarjuna Akkineni, Simran Bagga, Deepti Bhatnagar unknown"
ayanagaru,N Satya,"Srikanth, Ooha, Ali",unknown,"N Satya Srikanth, Ooha, Ali unknown"
baavagaru bagunnaraa,Jayanth C. Paranjee,"Chiranjeevi, Rambha, Rachana Banerjee, Paresh Rawal",unknown,"Jayanth C. Paranjee Chiranjeevi, Rambha, Rachana Banerjee, Paresh Rawal unknown"
all rounder,T. Prabhakar,"Rajendra Prasad, Sanghavi",unknown,"T. Prabhakar Rajendra Prasad, Sanghavi unknown"
choodalani vundi,Gunasekhar,"Chiranjeevi, Soundarya, Anjala Zhaveri, Prakash Raj",unknown,"Gunasekhar Chiranjeevi, Soundarya, Anjala Zhaveri, Prakash Raj unknown"
daddy daddy,Kodi Ramakrishna,"ANR, Jayasudha, Harish Kumar, Raasi",unknown,"Kodi Ramakrishna ANR, Jayasudha, Harish Kumar, Raasi unknown"
deergha sumangali bhava,S. V. Krishna Reddy,"Rajasekhar, Ramya Krishna, S. P. Balasubramaniam",unknown,"S. V. Krishna Reddy Rajasekhar, Ramya Krishna, S. P. Balasubramaniam unknown"
ganesh,Tirupathi Swamy,"Daggubati Venkatesh, Rambha, Madhoo, Prema, Kota Srinivasa Rao",unknown,"Tirupathi Swamy Daggubati Venkatesh, Rambha, Madhoo, Prema, Kota Srinivasa Rao unknown"
gillikajjalu,Muppulaleni Siva,"Srikanth, Meena Durairaj, Raasi, Brahmanandam",unknown,"Muppulaleni Siva Srikanth, Meena Durairaj, Raasi, Brahmanandam unknown"
kante koothurne kanu,Dasari Narayana Rao,"Dasari Narayana Rao, Jayasudha",unknown,"Dasari Narayana Rao Dasari Narayana Rao, Jayasudha unknown"
chandralekha,Krishna Vamsi,"Nagarjuna Akkineni, Ramya Krishna, Isha Koppikar",unknown,"Krishna Vamsi Nagarjuna Akkineni, Ramya Krishna, Isha Koppikar unknown"
kanyadanam,E. V. V. Satyanarayana,"Upendra, Srikanth, Rachana",unknown,"E. V. V. Satyanarayana Upendra, Srikanth, Rachana unknown"
samudram,Krishna Vamsi,"Jagapati Babu, Sakshi Shivanand, Ravi Teja, Prakash Raj",unknown,"Krishna Vamsi Jagapati Babu, Sakshi Shivanand, Ravi Teja, Prakash Raj unknown"
samarasimha reddy,B. Gopal,"Nandamuri Balakrishna, Simran Bagga, Anjala Zhaveri, Sanghavi",unknown,"B. Gopal Nandamuri Balakrishna, Simran Bagga, Anjala Zhaveri, Sanghavi unknown"
sambayya,K. S. Nageswara Rao,"Srihari, Radhika Chaudhari, Prakash Raj",unknown,"K. S. Nageswara Rao Srihari, Radhika Chaudhari, Prakash Raj unknown"
