Title,Director,Cast,Genre,comb
gemeni,unknown,"Venkatesh, Namitha, Mumtaj",Action,"unknown Venkatesh, Namitha, Mumtaj Action"
nuvve nuvve,Trivikram Srinivas,"Tarun, Shriya Saran, Prakash Raj",Romance,"Trivikram Srinivas Tarun, Shriya Saran, Prakash Raj Romance"
prema donga,Ramana,"Srihari, Soundarya, Vinod",Action,"Ramana Srihari, Soundarya, Vinod Action"
hrudayanjali,A. Raghurami Reddy,"Sanjay Mitra, Girija Shettar",Romance,"A. Raghurami Reddy Sanjay Mitra, Girija Shettar Romance"
sandade sandadi,Muppalaneni Siva,"Rajendra Prasad, Jagapathi Babu, Raasi",Comedy,"Muppalaneni Siva Rajendra Prasad, Jagapathi Babu, Raasi Comedy"
adrustam,Sekhar Suri,"Tarun, Gajala, Reemma Sen, Asha Saini",Romance,"Sekhar Suri Tarun, Gajala, Reemma Sen, Asha Saini Romance"
naga pratista,unknown,"Raasi, Sreejith",Drama,"unknown Raasi, Sreejith Drama"
neetho cheppalani,B. Satya Naidu,"Akash, Anupriya, M. S. Narayana",Romance,"B. Satya Naidu Akash, Anupriya, M. S. Narayana Romance"
parasuram,unknown,"Srihari, Sanghavi",Action,"unknown Srihari, Sanghavi Action"
nee premakai,Muppulaneni Siva,"Vineeth, Abbas, Laya, Sonia Agarwal",Romance,"Muppulaneni Siva Vineeth, Abbas, Laya, Sonia Agarwal Romance"
seshu,Jeevitha Rajashekar,"Rajasekhar, Kalyani, Nassar",Action,"Jeevitha Rajashekar Rajasekhar, Kalyani, Nassar Action"
lagna patrika,Subburaju,"Babloo Prithviraj, Sanghavi, Brahmanandam, Phaniraj Kumar",Romance,"Subburaju Babloo Prithviraj, Sanghavi, Brahmanandam, Phaniraj Kumar Romance"
ramana,Siva Nageswara Rao,"Rajendra Prasad, Mahi, Brahmanandam, Tanikella Bharani",Action / Comedy,"Siva Nageswara Rao Rajendra Prasad, Mahi, Brahmanandam, Tanikella Bharani Action / Comedy"
action no. 1,unknown,"Ram, Lakshman, Thriller Manju",Action,"unknown Ram, Lakshman, Thriller Manju Action"
chandravamsam,J. K. Bharavi,"Krishna Ghattamaneni, Jaya Pradha, Sivaji, Rohith",Drama,"J. K. Bharavi Krishna Ghattamaneni, Jaya Pradha, Sivaji, Rohith Drama"
nenu ninnu premistunnanu,G. Haribabu,"Prasanna, Keerthi Shaheen, Amrutha, Ahuti Prasad",Romance,"G. Haribabu Prasanna, Keerthi Shaheen, Amrutha, Ahuti Prasad Romance"
kondaveeti simhasanam,Dasari Narayana Rao,"Mohan Babu, Soundarya, Udaya Bhanu",Action,"Dasari Narayana Rao Mohan Babu, Soundarya, Udaya Bhanu Action"
kalusukovalani,Raghu Raj,"Uday Kiran, Gajala, Pratyusha",Romance,"Raghu Raj Uday Kiran, Gajala, Pratyusha Romance"
raghava,Y. Nageswara Rao,"Suresh, Rajasri, Kota Srinivasa Rao, Brahmanandam",Drama,"Y. Nageswara Rao Suresh, Rajasri, Kota Srinivasa Rao, Brahmanandam Drama"
neethone vuntanu,T. Prabhakar,"Upendra, Sanghavi, Rachana Banerjee",Romance,"T. Prabhakar Upendra, Sanghavi, Rachana Banerjee Romance"
o chinnadana,E. Sathibabu,"Srikanth, Raja, Gajala, Asha Saini, Shruthi Raj",Comedy,"E. Sathibabu Srikanth, Raja, Gajala, Asha Saini, Shruthi Raj Comedy"
priya nestama,R. Ganapathy,"Venu, Malavika, Shama",Romance,"R. Ganapathy Venu, Malavika, Shama Romance"
nuvvu leka nenu lenu,Kashi Vishwanath,"Tarun, Aarthi Agarwal, Laya, Sarath Babu",Romance,"Kashi Vishwanath Tarun, Aarthi Agarwal, Laya, Sarath Babu Romance"
takkari donga,Jayanth C. Paranjee,"Mahesh Babu, Lisa Ray, Bipasha Basu, Krishna Ghattamaneni",Action,"Jayanth C. Paranjee Mahesh Babu, Lisa Ray, Bipasha Basu, Krishna Ghattamaneni Action"
seema simham,G. Ram Prasad,"Nandamuri Balakrishna, Simran, Reemma Sen, P. Vasu",Action,"G. Ram Prasad Nandamuri Balakrishna, Simran, Reemma Sen, P. Vasu Action"
mee kosam,V. Janardhan,"Ramyasri, Samaram, Sharmila",Documentary,"V. Janardhan Ramyasri, Samaram, Sharmila Documentary"
nuvvunte chaalu,Achyuth Reddy,"Adarsha, Sonali Raj",Romance,"Achyuth Reddy Adarsha, Sonali Raj Romance"
premaku swagatam,S. V. Krishna Reddy,"J. D. Chakravarthy, Soundarya",Romance,"S. V. Krishna Reddy J. D. Chakravarthy, Soundarya Romance"
chelia chelia chiru kopama,Sai Shyam,"Nivas, Shikha Sinha",Romance,"Sai Shyam Nivas, Shikha Sinha Romance"
entha bagundo,Bharadwaja Thammareddy,"Sai Kiran, Rohith, Laya",Romance,"Bharadwaja Thammareddy Sai Kiran, Rohith, Laya Romance"
devi nagamma,Alahari,"Prema, Baby Deepika, Jackie, Mani Chandana, Mada, Somayajulu, Jeeva",Drama,"Alahari Prema, Baby Deepika, Jackie, Mani Chandana, Mada, Somayajulu, Jeeva Drama"
vooru manadiraa,R. Narayana Murthy,"R. Narayana Murthy, Siddappa Naidu",Drama,"R. Narayana Murthy R. Narayana Murthy, Siddappa Naidu Drama"
hai,E. V. V. Satyanarayana,"Aryan Rajesh, Nikita Thukral",Romance,"E. V. V. Satyanarayana Aryan Rajesh, Nikita Thukral Romance"
sahasa baludu vichitra kothi,Dasharatha Raju,"Vijayashanti, Brahmanandam, Sarath Babu, Sudha",Adventure,"Dasharatha Raju Vijayashanti, Brahmanandam, Sarath Babu, Sudha Adventure"
manasutho,Ravi Kumar Chowdary,"Aakash, Arjoo Govithrikar, Khayyam",Romance,"Ravi Kumar Chowdary Aakash, Arjoo Govithrikar, Khayyam Romance"
allari,Ravi Babu,"Naresh, Anuradha Mehta",Comedy,"Ravi Babu Naresh, Anuradha Mehta Comedy"
